,lat,lon,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
0,51.75,-129.75,0.7447,0.986,1.0,0.008,1.0
1,51.75,-129.0686274509804,0.7611,0.89,1.0,0.071,1.0
2,51.75,-128.38725490196077,0.7482499999999999,0.892,1.0,0.035,1.0
3,51.75,-127.70588235294117,0.79685,0.988,1.0,0.0,1.0
4,51.75,-127.02450980392157,0.76225,0.9665,1.0,0.0,1.0
5,51.75,-126.34313725490196,0.8490499999999999,0.994,1.0,0.122,1.0
6,51.75,-125.66176470588235,0.8434000000000001,0.988,1.0,0.043,1.0
7,51.75,-124.98039215686275,0.8134,1.0,1.0,0.102,1.0
8,51.75,-124.29901960784314,0.7908,0.998,1.0,0.205,1.0
9,51.75,-123.61764705882354,0.7511500000000001,0.862,1.0,0.181,1.0
10,51.75,-122.93627450980392,0.70865,0.768,0.7000000000000001,0.0,1.0
11,51.75,-122.25490196078431,0.67875,0.7915000000000001,1.0,0.02,1.0
12,51.75,-121.57352941176471,0.7311,0.921,1.0,0.008,1.0
13,51.75,-120.8921568627451,0.7892,0.953,1.0,0.008,1.0
14,51.75,-120.2107843137255,0.64125,0.728,1.0,0.059,1.0
15,51.75,-119.52941176470588,0.7626000000000001,0.896,1.0,0.0,1.0
16,51.75,-118.84803921568627,0.71515,0.9275,1.0,0.043,1.0
17,51.75,-118.16666666666667,0.7412,0.9745,1.0,0.008,1.0
18,51.75,-117.48529411764706,0.75,0.7895000000000001,1.0,0.067,1.0
19,51.75,-116.80392156862744,0.73705,0.8465,1.0,0.016,1.0
20,51.75,-116.12254901960785,0.7742000000000001,0.931,1.0,0.118,1.0
21,51.75,-115.44117647058823,0.7954000000000001,0.984,1.0,0.043,1.0
22,51.75,-114.75980392156863,0.8435500000000001,1.0,1.0,0.004,1.0
23,51.75,-114.07843137254902,0.8216000000000001,0.982,1.0,0.004,1.0
24,51.75,-113.39705882352942,0.8571500000000001,0.994,1.0,0.071,1.0
25,51.75,-112.7156862745098,0.7484,1.0,1.0,0.0,1.0
26,51.75,-112.0343137254902,0.783,0.9805,0.9,0.008,1.0
27,51.75,-111.35294117647058,0.7736000000000001,0.917,1.0,0.055,1.0
28,51.75,-110.67156862745098,0.73245,0.9545,1.0,0.004,1.0
29,51.75,-109.99019607843137,0.7529999999999999,1.0,1.0,0.0,1.0
30,51.75,-109.30882352941177,0.6919500000000001,0.9075,1.0,0.0,1.0
31,51.75,-108.62745098039215,0.67525,0.925,1.0,0.0,1.0
32,51.75,-107.94607843137254,0.64625,0.7715000000000001,1.0,0.0,1.0
33,51.75,-107.26470588235294,0.6794,0.8445,1.0,0.079,1.0
34,51.75,-106.58333333333333,0.56335,0.6595,1.0,0.0,1.0
35,51.75,-105.90196078431373,0.5898000000000001,0.6655,1.0,0.0,1.0
36,51.75,-105.22058823529412,0.63195,0.8445,1.0,0.0,1.0
37,51.75,-104.5392156862745,0.62575,0.795,1.0,0.0,1.0
38,51.75,-103.8578431372549,0.65175,0.8465,1.0,0.0,1.0
39,51.75,-103.17647058823529,0.6605,0.9745,1.0,0.0,1.0
40,51.75,-102.49509803921569,0.53485,0.634,0.0,0.0,1.0
41,51.75,-101.81372549019608,0.5330999999999999,0.6575,0.0,0.0,1.0
42,51.75,-101.13235294117646,0.649,0.7735000000000001,1.0,0.0,1.0
43,51.75,-100.45098039215686,0.64605,0.9725,1.0,0.0,1.0
44,51.75,-99.76960784313725,0.6104499999999999,0.919,1.0,0.0,1.0
45,51.75,-99.08823529411765,0.6496000000000001,0.998,1.0,0.0,1.0
46,51.75,-98.40686274509804,0.69115,0.994,1.0,0.0,1.0
47,51.75,-97.72549019607843,0.6567000000000001,1.0,1.0,0.0,1.0
48,51.75,-97.04411764705883,0.7293000000000001,0.9645,1.0,0.0,1.0
49,51.75,-96.36274509803921,0.6409499999999999,0.8445,1.0,0.0,1.0
50,51.75,-95.68137254901961,0.6748,1.0,1.0,0.0,1.0
51,51.75,-95.0,0.63585,0.943,1.0,0.0,1.0
52,51.75,-94.31862745098039,0.5937,0.7975,1.0,0.0,1.0
53,51.75,-93.63725490196077,0.6624,0.955,1.0,0.0,1.0
54,51.75,-92.95588235294117,0.6115999999999999,0.8089999999999999,1.0,0.0,1.0
55,51.75,-92.27450980392157,0.5710500000000001,0.6065,0.0,0.0,1.0
56,51.75,-91.59313725490196,0.5309000000000001,0.5395,1.0,0.0,1.0
57,51.75,-90.91176470588235,0.51665,0.5175000000000001,0.0,0.0,1.0
58,51.75,-90.23039215686273,0.49865,0.5,0.0,0.0,1.0
59,51.75,-89.54901960784314,0.5360499999999999,0.5489999999999999,0.0,0.0,1.0
60,51.75,-88.86764705882354,0.5043000000000001,0.4685,0.0,0.0,1.0
61,51.75,-88.18627450980392,0.5505500000000001,0.575,1.0,0.0,1.0
62,51.75,-87.50490196078431,0.4883,0.522,0.0,0.0,1.0
63,51.75,-86.8235294117647,0.5651999999999999,0.7855,1.0,0.0,1.0
64,51.75,-86.1421568627451,0.5685,0.876,1.0,0.0,1.0
65,51.75,-85.4607843137255,0.60415,0.7975,1.0,0.0,1.0
66,51.75,-84.77941176470588,0.626,0.9685,1.0,0.0,1.0
67,51.75,-84.09803921568627,0.66015,0.8835,1.0,0.0,1.0
68,51.75,-83.41666666666666,0.73795,0.996,1.0,0.0,1.0
69,51.75,-82.73529411764706,0.6258000000000001,0.5569999999999999,1.0,0.0,1.0
70,51.75,-82.05392156862746,0.69555,0.9745,1.0,0.0,1.0
71,51.75,-81.37254901960785,0.6616500000000001,0.9825,1.0,0.0,1.0
72,51.75,-80.69117647058823,0.6306999999999999,0.9135,1.0,0.0,1.0
73,51.75,-80.00980392156862,0.52285,0.5335000000000001,0.0,0.0,1.0
74,51.75,-79.32843137254902,0.47545,0.455,0.0,0.0,1.0
75,51.75,-78.64705882352942,0.48755,0.4429999999999999,0.0,0.0,1.0
76,51.75,-77.9656862745098,0.47815,0.4684999999999999,0.0,0.0,1.0
77,51.75,-77.2843137254902,0.46135,0.3834999999999999,0.0,0.0,1.0
78,51.75,-76.60294117647058,0.4986,0.51,0.0,0.0,1.0
79,51.75,-75.92156862745098,0.525,0.494,1.0,0.0,1.0
80,51.75,-75.24019607843137,0.5829,0.823,1.0,0.0,1.0
81,51.75,-74.55882352941177,0.5907,0.9765,1.0,0.0,1.0
82,51.75,-73.87745098039215,0.6073000000000001,0.8665,1.0,0.0,1.0
83,51.75,-73.19607843137254,0.61555,0.9745,1.0,0.0,1.0
84,51.75,-72.51470588235294,0.5917,0.8009999999999999,1.0,0.0,1.0
85,51.75,-71.83333333333333,0.64805,0.9235,1.0,0.0,1.0
86,51.75,-71.15196078431373,0.6778000000000001,0.9685,1.0,0.0,1.0
87,51.75,-70.47058823529412,0.6255499999999999,0.986,1.0,0.0,1.0
88,51.75,-69.7892156862745,0.7143499999999999,0.941,1.0,0.0,1.0
89,51.75,-69.1078431372549,0.6442500000000001,0.7264999999999999,1.0,0.0,1.0
90,51.75,-68.42647058823529,0.6408,0.8999999999999999,1.0,0.0,1.0
91,51.75,-67.74509803921569,0.6422,0.8095,1.0,0.0,1.0
92,51.75,-67.06372549019608,0.76005,0.9625,1.0,0.0,1.0
93,51.75,-66.38235294117646,0.6955,0.862,1.0,0.0,1.0
94,51.75,-65.70098039215686,0.6907,0.864,1.0,0.0,1.0
95,51.75,-65.01960784313725,0.65845,0.75,1.0,0.0,1.0
96,51.75,-64.33823529411765,0.6114499999999999,0.6395,1.0,0.0,1.0
97,51.75,-63.65686274509804,0.67485,0.9095,1.0,0.0,1.0
98,51.75,-62.975490196078425,0.7939,0.9845,1.0,0.0,1.0
99,51.75,-62.294117647058826,0.7964,0.992,1.0,0.0,1.0
100,51.75,-61.61274509803921,0.78265,0.931,1.0,0.0,1.0
101,51.75,-60.9313725490196,0.7191000000000001,0.996,1.0,0.0,1.0
102,51.75,-60.25,0.66205,0.8465,1.0,0.0,1.0
103,51.0,-129.75,0.8321500000000001,0.894,1.0,0.193,1.0
104,51.0,-129.0686274509804,0.7684500000000001,0.986,1.0,0.0,1.0
105,51.0,-128.38725490196077,0.83385,0.9545,1.0,0.453,1.0
106,51.0,-127.70588235294117,0.8952500000000001,1.0,1.0,0.248,1.0
107,51.0,-127.02450980392157,0.8458,1.0,1.0,0.114,1.0
108,51.0,-126.34313725490196,0.7986500000000001,0.99,1.0,0.209,1.0
109,51.0,-125.66176470588235,0.7671000000000001,1.0,1.0,0.083,1.0
110,51.0,-124.98039215686275,0.8258000000000001,0.998,1.0,0.11,1.0
111,51.0,-124.29901960784314,0.8169000000000001,0.988,1.0,0.323,1.0
112,51.0,-123.61764705882354,0.7102499999999999,0.88,1.0,0.142,1.0
113,51.0,-122.93627450980392,0.7444999999999998,0.9765,1.0,0.024,1.0
114,51.0,-122.25490196078431,0.6847,0.888,1.0,0.0,1.0
115,51.0,-121.57352941176471,0.7181,0.8485,1.0,0.039,1.0
116,51.0,-120.8921568627451,0.7325,0.8465,1.0,0.0,1.0
117,51.0,-120.2107843137255,0.75,0.915,1.0,0.008,1.0
118,51.0,-119.52941176470588,0.6960000000000001,0.7025,1.0,0.0,1.0
119,51.0,-118.84803921568627,0.77745,0.935,1.0,0.012,1.0
120,51.0,-118.16666666666667,0.8067499999999999,0.9745,1.0,0.15,1.0
121,51.0,-117.48529411764706,0.79745,0.9785,1.0,0.008,1.0
122,51.0,-116.80392156862744,0.7785,1.0,1.0,0.039,1.0
123,51.0,-116.12254901960785,0.7639000000000001,0.998,1.0,0.0,1.0
124,51.0,-115.44117647058823,0.8124499999999999,0.986,1.0,0.0,1.0
125,51.0,-114.75980392156863,0.8511999999999998,1.0,1.0,0.0,1.0
126,51.0,-114.07843137254902,0.79925,0.99,1.0,0.016,1.0
127,51.0,-113.39705882352942,0.9083,0.998,1.0,0.508,1.0
128,51.0,-112.7156862745098,0.8767499999999998,0.9805,1.0,0.134,1.0
129,51.0,-112.0343137254902,0.6876,0.7995,1.0,0.0,1.0
130,51.0,-111.35294117647058,0.7706,0.957,0.9,0.008,1.0
131,51.0,-110.67156862745098,0.7204499999999999,0.988,1.0,0.043,1.0
132,51.0,-109.99019607843137,0.71065,0.998,1.0,0.031,1.0
133,51.0,-109.30882352941177,0.72075,0.961,1.0,0.063,1.0
134,51.0,-108.62745098039215,0.6808500000000001,0.8660000000000001,1.0,0.047,1.0
135,51.0,-107.94607843137254,0.79235,0.9685,1.0,0.189,1.0
136,51.0,-107.26470588235294,0.6904999999999999,0.955,1.0,0.047,1.0
137,51.0,-106.58333333333333,0.7196499999999999,0.9665,1.0,0.0,1.0
138,51.0,-105.90196078431373,0.57625,0.7775000000000001,1.0,0.0,1.0
139,51.0,-105.22058823529412,0.68775,0.7755,1.0,0.0,1.0
140,51.0,-104.5392156862745,0.6532,0.9565,1.0,0.0,1.0
141,51.0,-103.8578431372549,0.7322499999999998,0.9135,1.0,0.0,1.0
142,51.0,-103.17647058823529,0.7386,0.943,1.0,0.0,1.0
143,51.0,-102.49509803921569,0.6786,0.9335,1.0,0.0,1.0
144,51.0,-101.81372549019608,0.58825,0.76,1.0,0.0,1.0
145,51.0,-101.13235294117646,0.6614,1.0,1.0,0.0,1.0
146,51.0,-100.45098039215686,0.64155,0.8485,1.0,0.0,1.0
147,51.0,-99.76960784313725,0.6034,1.0,1.0,0.0,1.0
148,51.0,-99.08823529411765,0.69845,0.9845,1.0,0.0,1.0
149,51.0,-98.40686274509804,0.72655,1.0,1.0,0.0,1.0
150,51.0,-97.72549019607843,0.6886,0.9255,1.0,0.0,1.0
151,51.0,-97.04411764705883,0.6814,0.9095,1.0,0.0,1.0
152,51.0,-96.36274509803921,0.7463,0.9705,1.0,0.0,1.0
153,51.0,-95.68137254901961,0.64075,0.8345,1.0,0.0,1.0
154,51.0,-95.0,0.6908000000000001,0.9195,1.0,0.0,1.0
155,51.0,-94.31862745098039,0.6746,0.9685,1.0,0.0,1.0
156,51.0,-93.63725490196077,0.54565,0.594,0.0,0.0,1.0
157,51.0,-92.95588235294117,0.6057,0.9725,1.0,0.0,1.0
158,51.0,-92.27450980392157,0.6142,0.9055,1.0,0.0,1.0
159,51.0,-91.59313725490196,0.6207499999999999,0.764,1.0,0.0,1.0
160,51.0,-90.91176470588235,0.6368,0.874,1.0,0.0,1.0
161,51.0,-90.23039215686273,0.52165,0.516,0.0,0.0,1.0
162,51.0,-89.54901960784314,0.57675,0.6475,0.0,0.0,1.0
163,51.0,-88.86764705882354,0.47775,0.478,0.0,0.0,1.0
164,51.0,-88.18627450980392,0.4984,0.504,0.0,0.0,1.0
165,51.0,-87.50490196078431,0.4935,0.4605,0.0,0.0,1.0
166,51.0,-86.8235294117647,0.5525499999999999,0.608,1.0,0.0,1.0
167,51.0,-86.1421568627451,0.5098499999999999,0.433,1.0,0.0,1.0
168,51.0,-85.4607843137255,0.5311,0.5609999999999999,0.0,0.0,1.0
169,51.0,-84.77941176470588,0.56515,0.8625,0.0,0.0,1.0
170,51.0,-84.09803921568627,0.5651499999999999,0.6595,1.0,0.0,1.0
171,51.0,-83.41666666666666,0.601,0.626,1.0,0.0,1.0
172,51.0,-82.73529411764706,0.66785,0.736,1.0,0.0,1.0
173,51.0,-82.05392156862746,0.80665,0.992,1.0,0.024,1.0
174,51.0,-81.37254901960785,0.68895,0.9565,1.0,0.004,1.0
175,51.0,-80.69117647058823,0.71515,0.9785,1.0,0.0,1.0
176,51.0,-80.00980392156862,0.61025,0.9175,1.0,0.0,1.0
177,51.0,-79.32843137254902,0.5912,0.7715,1.0,0.0,1.0
178,51.0,-78.64705882352942,0.5075,0.4625,0.0,0.0,1.0
179,51.0,-77.9656862745098,0.5767500000000001,0.5495,1.0,0.0,1.0
180,51.0,-77.2843137254902,0.5134000000000001,0.492,1.0,0.0,1.0
181,51.0,-76.60294117647058,0.5483999999999999,0.748,0.0,0.0,1.0
182,51.0,-75.92156862745098,0.5532,0.636,1.0,0.0,1.0
183,51.0,-75.24019607843137,0.58525,0.746,1.0,0.0,1.0
184,51.0,-74.55882352941177,0.6173,0.7835,1.0,0.0,1.0
185,51.0,-73.87745098039215,0.5649,0.856,1.0,0.0,1.0
186,51.0,-73.19607843137254,0.5257999999999999,0.5509999999999999,1.0,0.0,1.0
187,51.0,-72.51470588235294,0.704,0.8625,1.0,0.0,1.0
188,51.0,-71.83333333333333,0.77185,1.0,1.0,0.0,1.0
189,51.0,-71.15196078431373,0.8085999999999999,1.0,1.0,0.0,1.0
190,51.0,-70.47058823529412,0.7020500000000001,0.99,1.0,0.0,1.0
191,51.0,-69.7892156862745,0.70825,0.88,1.0,0.0,1.0
192,51.0,-69.1078431372549,0.73425,0.8919999999999999,1.0,0.0,1.0
193,51.0,-68.42647058823529,0.7144,0.947,1.0,0.0,1.0
194,51.0,-67.74509803921569,0.6420999999999999,0.992,1.0,0.0,1.0
195,51.0,-67.06372549019608,0.69585,0.931,1.0,0.0,1.0
196,51.0,-66.38235294117646,0.6611,0.8505,1.0,0.0,1.0
197,51.0,-65.70098039215686,0.5526,0.5,1.0,0.0,1.0
