,latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover
54820,51.75,-129.75,0.7469090909090909,1.0,1.0,0.016,1.0
54821,51.75,-129.25,0.5385454545454545,0.421,1.0,0.0,1.0
54822,51.75,-128.75,0.6875454545454546,0.929,1.0,0.0,1.0
54823,51.75,-128.25,0.629909090909091,1.0,1.0,0.0,1.0
54824,51.75,-127.75,0.7740909090909092,0.984,1.0,0.0,1.0
54825,51.75,-127.25,0.7773636363636364,0.98,1.0,0.102,1.0
54826,51.75,-126.75,0.6993636363636363,1.0,1.0,0.016,1.0
54827,51.75,-126.25,0.7888181818181818,1.0,1.0,0.091,1.0
54828,51.75,-125.75,0.6851818181818182,0.886,0.8,0.059,1.0
54829,51.75,-125.25,0.743,0.894,1.0,0.165,1.0
54830,51.75,-124.75,0.7469999999999999,0.878,1.0,0.11,1.0
54831,51.75,-124.25,0.8042727272727274,0.98,1.0,0.386,1.0
54832,51.75,-123.75,0.737,0.957,1.0,0.0,1.0
54833,51.75,-123.25,0.8010909090909092,1.0,1.0,0.008,1.0
54834,51.75,-122.75,0.8292727272727273,0.992,1.0,0.0,1.0
54835,51.75,-122.25,0.6273636363636363,0.764,1.0,0.0,1.0
54836,51.75,-121.75,0.8249090909090909,1.0,1.0,0.0,1.0
54837,51.75,-121.25,0.8395454545454545,0.984,1.0,0.008,1.0
54838,51.75,-120.75,0.8063636363636363,1.0,1.0,0.0,1.0
54839,51.75,-120.25,0.8334545454545456,0.976,0.8,0.039,1.0
54840,51.75,-119.75,0.8639090909090911,0.992,1.0,0.287,1.0
54841,51.75,-119.25,0.864,1.0,1.0,0.343,1.0
54842,51.75,-118.75,0.7863636363636364,1.0,1.0,0.142,1.0
54843,51.75,-118.25,0.8500909090909091,0.992,1.0,0.272,1.0
54844,51.75,-117.75,0.7927272727272726,0.843,1.0,0.252,1.0
54845,51.75,-117.25,0.9316363636363637,1.0,1.0,0.472,1.0
54846,51.75,-116.75,0.8714545454545454,0.98,1.0,0.283,1.0
54847,51.75,-116.25,0.8436363636363636,1.0,1.0,0.303,1.0
54848,51.75,-115.75,0.8600909090909091,1.0,1.0,0.398,1.0
54849,51.75,-115.25,0.8184545454545454,1.0,1.0,0.051,1.0
54850,51.75,-114.75,0.7766363636363636,0.949,0.8,0.0,1.0
54851,51.75,-114.25,0.7083636363636363,1.0,1.0,0.0,1.0
54852,51.75,-113.75,0.5758181818181818,0.736,0.0,0.0,1.0
54853,51.75,-113.25,0.5543636363636364,0.736,0.0,0.0,1.0
54854,51.75,-112.75,0.6163636363636364,0.839,0.0,0.0,1.0
54855,51.75,-112.25,0.6084545454545455,0.819,0.0,0.0,1.0
54856,51.75,-111.75,0.4724545454545454,0.417,0.0,0.0,1.0
54857,51.75,-111.25,0.5308181818181817,0.642,0.0,0.0,1.0
54858,51.75,-110.75,0.5841818181818182,0.571,0.4,0.0,1.0
54859,51.75,-110.25,0.5622727272727274,0.618,1.0,0.0,1.0
54860,51.75,-109.75,0.6434545454545455,0.795,1.0,0.0,1.0
54861,51.75,-109.25,0.603909090909091,0.748,1.0,0.0,1.0
54862,51.75,-108.75,0.4534545454545455,0.315,0.0,0.0,1.0
54863,51.75,-108.25,0.4732727272727273,0.52,0.0,0.0,1.0
54864,51.75,-107.75,0.605,0.776,0.0,0.0,1.0
54865,51.75,-107.25,0.47536363636363627,0.366,0.0,0.0,1.0
54866,51.75,-106.75,0.5220909090909092,0.598,0.0,0.0,1.0
54867,51.75,-106.25,0.4774545454545454,0.201,0.0,0.0,1.0
54868,51.75,-105.75,0.5103636363636364,0.469,0.0,0.0,1.0
54869,51.75,-105.25,0.5461818181818182,0.512,0.0,0.0,1.0
54870,51.75,-104.75,0.6696363636363636,0.756,0.8,0.063,1.0
