latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.75,-122.25,0.8236363636363637,1.0,1.0,0.016,1.0,True
48.75,-121.75,0.9451818181818183,1.0,1.0,0.736,1.0,True
48.75,-121.25,0.8349090909090908,0.972,0.8,0.433,1.0,True
48.75,-120.75,0.8242727272727272,1.0,1.0,0.094,1.0,True
48.75,-120.25,0.9166363636363637,1.0,1.0,0.154,1.0,True
48.75,-119.75,0.8837272727272726,1.0,1.0,0.402,1.0,True
48.75,-119.25,0.6800909090909091,0.823,1.0,0.0,1.0,True
48.75,-118.75,0.8080909090909092,0.921,1.0,0.173,1.0,True
48.75,-118.25,0.9237272727272727,0.984,0.8,0.713,1.0,True
48.75,-117.75,0.6302727272727272,0.496,0.2,0.228,1.0,True
48.75,-117.25,0.827090909090909,0.969,1.0,0.224,1.0,True
48.75,-116.75,0.8821818181818183,0.988,0.8,0.283,1.0,True
48.75,-116.25,0.7433636363636363,0.965,1.0,0.24,1.0,True
48.75,-115.75,0.770909090909091,0.866,1.0,0.343,1.0,True
48.75,-115.25,0.8170909090909091,0.933,0.8,0.193,1.0,True
48.75,-114.75,0.9276363636363635,0.984,0.8,0.744,1.0,True
48.75,-114.25,0.9050909090909092,0.969,1.0,0.665,1.0,True
48.75,-113.75,0.8743636363636363,1.0,1.0,0.177,1.0,True
48.75,-113.25,0.7097272727272728,0.902,1.0,0.0,1.0,True
48.75,-112.75,0.7831818181818182,0.783,0.6000000000000001,0.339,1.0,True
48.75,-112.25,0.7365454545454546,0.988,1.0,0.106,1.0,True
48.75,-111.75,0.685,0.996,1.0,0.0,1.0,True
48.75,-111.25,0.84,1.0,1.0,0.291,1.0,True
48.75,-110.75,0.6406363636363636,0.906,0.0,0.035,1.0,True
48.75,-110.25,0.622,0.882,1.0,0.0,1.0,True
48.75,-109.75,0.4645454545454546,0.413,0.0,0.0,1.0,True
48.75,-109.25,0.5865454545454546,0.854,1.0,0.0,1.0,True
48.75,-108.75,0.606909090909091,0.949,0.0,0.0,1.0,True
48.75,-108.25,0.612,0.945,1.0,0.0,1.0,True
48.75,-107.75,0.5521818181818182,0.492,0.0,0.0,1.0,True
48.75,-107.25,0.5650000000000001,0.535,1.0,0.0,1.0,True
48.75,-106.75,0.4856363636363636,0.35,0.0,0.0,1.0,True
48.75,-106.25,0.529,0.646,0.0,0.0,1.0,True
48.75,-105.75,0.6212727272727273,0.917,0.0,0.0,1.0,True
48.75,-105.25,0.507909090909091,0.386,0.0,0.0,1.0,True
48.75,-104.75,0.45736363636363636,0.354,0.0,0.0,1.0,True
48.75,-104.25,0.5443636363636363,0.953,0.0,0.0,1.0,True
48.75,-103.75,0.5489999999999999,0.732,0.0,0.0,1.0,True
48.75,-103.25,0.5042727272727273,0.457,0.0,0.0,1.0,True
48.75,-102.75,0.533,0.894,0.0,0.0,1.0,True
48.75,-102.25,0.5605454545454545,0.701,0.0,0.0,1.0,True
48.75,-101.75,0.5798181818181818,0.752,1.0,0.0,1.0,True
48.75,-101.25,0.5837272727272728,0.724,0.0,0.0,1.0,True
48.75,-100.75,0.6629999999999999,0.744,1.0,0.0,1.0,True
48.75,-100.25,0.7917272727272727,1.0,1.0,0.0,1.0,True
48.75,-99.75,0.863909090909091,1.0,1.0,0.165,1.0,True
48.75,-99.25,0.7516363636363637,0.976,1.0,0.15,1.0,True
48.75,-98.75,0.761,0.823,1.0,0.217,1.0,True
48.75,-98.25,0.7411818181818183,0.843,1.0,0.181,1.0,True
48.75,-97.75,0.7688181818181818,1.0,1.0,0.012,1.0,True
48.75,-97.25,0.8757272727272727,0.972,0.8,0.268,1.0,True
48.75,-96.75,0.7633636363636364,0.909,1.0,0.0,1.0,True
48.75,-96.25,0.7788181818181819,0.992,1.0,0.0,1.0,True
48.75,-95.75,0.7280000000000001,1.0,1.0,0.004,1.0,True
48.75,-95.25,0.7419999999999999,1.0,1.0,0.0,1.0,True
48.75,-94.75,0.7205454545454545,0.941,1.0,0.004,1.0,True
48.25,-124.25,0.7322727272727273,1.0,1.0,0.0,1.0,True
48.25,-122.75,0.7132727272727273,1.0,1.0,0.004,1.0,True
48.25,-122.25,0.7695454545454545,1.0,1.0,0.016,1.0,True
48.25,-121.75,0.9359999999999999,1.0,1.0,0.65,1.0,True
48.25,-121.25,0.9562727272727273,1.0,1.0,0.74,1.0,True
48.25,-120.75,0.7419090909090911,1.0,1.0,0.047,1.0,True
48.25,-120.25,0.8445454545454545,0.976,0.8,0.346,1.0,True
48.25,-119.75,0.7666363636363638,0.945,1.0,0.146,1.0,True
48.25,-119.25,0.7422727272727273,0.886,1.0,0.016,1.0,True
48.25,-118.75,0.7197272727272727,0.984,1.0,0.146,1.0,True
48.25,-118.25,0.779909090909091,0.957,1.0,0.303,1.0,True
48.25,-117.75,0.755090909090909,0.791,0.6000000000000001,0.362,1.0,True
48.25,-117.25,0.8284545454545454,0.984,1.0,0.378,1.0,True
48.25,-116.75,0.8637272727272728,1.0,1.0,0.343,1.0,True
48.25,-116.25,0.7691818181818182,1.0,1.0,0.11,1.0,True
48.25,-115.75,0.8392727272727272,1.0,1.0,0.142,1.0,True
48.25,-115.25,0.9173636363636365,1.0,1.0,0.413,1.0,True
48.25,-114.75,0.9223636363636364,1.0,1.0,0.437,1.0,True
48.25,-114.25,0.8285454545454546,1.0,1.0,0.37,1.0,True
48.25,-113.75,0.9322727272727271,1.0,1.0,0.555,1.0,True
48.25,-113.25,0.9416363636363635,1.0,1.0,0.677,1.0,True
48.25,-112.75,0.805,0.906,0.8,0.004,1.0,True
48.25,-112.25,0.7702727272727272,0.902,0.8,0.0,1.0,True
48.25,-111.75,0.6452727272727272,0.614,1.0,0.0,1.0,True
48.25,-111.25,0.6904545454545455,0.969,1.0,0.0,1.0,True
48.25,-110.75,0.6947272727272726,1.0,1.0,0.0,1.0,True
