latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.75,-122.25,0.7350000000000001,0.9545,1.0,0.031,1.0,True
48.75,-121.75,0.812,0.998,1.0,0.252,1.0,True
48.75,-121.25,0.91725,1.0,1.0,0.669,1.0,True
48.75,-120.75,0.98825,1.0,1.0,0.953,1.0,True
48.75,-120.25,0.9645,0.992,0.8,0.874,1.0,True
48.75,-119.75,0.79725,0.821,0.8,0.551,0.996,True
48.75,-119.25,0.6347499999999999,0.565,0.4,0.409,1.0,True
48.75,-118.75,0.6595,0.7224999999999999,0.0,0.193,1.0,True
48.75,-118.25,0.7,0.7284999999999999,0.2,0.343,1.0,True
48.75,-117.75,0.61825,0.7050000000000001,0.6000000000000001,0.067,0.996,True
48.75,-117.25,0.67525,0.742,0.2,0.217,1.0,True
48.75,-116.75,0.637,0.7424999999999999,0.0,0.063,1.0,True
48.75,-116.25,0.6595,0.6515,0.2,0.339,0.996,True
48.75,-115.75,0.7312500000000001,0.7835000000000001,0.6000000000000001,0.508,0.85,True
48.75,-115.25,0.62925,0.6225,0.2,0.307,0.965,True
48.75,-114.75,0.9520000000000001,0.9530000000000001,0.8,0.902,1.0,True
48.75,-114.25,0.8485,0.9724999999999999,0.8,0.449,1.0,True
48.75,-113.75,0.995,1.0,1.0,0.98,1.0,True
48.75,-113.25,0.91925,0.996,1.0,0.685,1.0,True
48.75,-112.75,0.7845,0.8385,1.0,0.461,1.0,True
48.75,-112.25,0.6950000000000001,0.876,1.0,0.028,1.0,True
48.75,-111.75,0.933,0.935,0.8,0.862,1.0,True
48.75,-111.25,0.8797499999999999,0.9505,0.8,0.618,1.0,True
48.75,-110.75,0.74725,0.764,0.4,0.492,0.969,True
48.75,-110.25,0.67625,0.7284999999999999,0.6000000000000001,0.248,1.0,True
48.75,-109.75,0.802,0.7695000000000001,0.6000000000000001,0.669,1.0,True
48.75,-109.25,0.6990000000000001,0.7304999999999999,0.2,0.335,1.0,True
48.75,-108.75,0.805,0.8365,1.0,0.547,1.0,True
48.75,-108.25,0.64975,0.6085,0.2,0.382,1.0,True
48.75,-107.75,0.698,0.8725,0.0,0.047,1.0,True
48.75,-107.25,0.79925,0.821,1.0,0.555,1.0,True
48.75,-106.75,0.742,0.927,1.0,0.114,1.0,True
48.75,-106.25,0.6869999999999999,0.8009999999999999,1.0,0.146,1.0,True
48.75,-105.75,0.5995,0.6990000000000001,1.0,0.0,1.0,True
48.75,-105.25,0.5885,0.5630000000000001,0.2,0.228,1.0,True
48.75,-104.75,0.52375,0.52,0.0,0.055,1.0,True
48.75,-104.25,0.7302500000000001,0.9605,1.0,0.0,1.0,True
48.75,-103.75,0.63775,0.7755000000000001,1.0,0.0,1.0,True
48.75,-103.25,0.64175,0.7835000000000001,0.0,0.0,1.0,True
48.75,-102.75,0.44575,0.3915,0.0,0.0,1.0,True
48.75,-102.25,0.5345,0.569,0.0,0.0,1.0,True
48.75,-101.75,0.5077499999999999,0.5155,0.0,0.0,1.0,True
48.75,-101.25,0.5197499999999999,0.5395,0.0,0.0,1.0,True
48.75,-100.75,0.5255000000000001,0.551,0.0,0.0,1.0,True
48.75,-100.25,0.57575,0.6515,1.0,0.0,1.0,True
48.75,-99.75,0.5885,0.677,1.0,0.0,1.0,True
48.75,-99.25,0.5385,0.577,0.0,0.0,1.0,True
48.75,-98.75,0.6407499999999999,0.6515,0.2,0.26,1.0,True
48.75,-98.25,0.8355,0.994,1.0,0.354,1.0,True
