latitude,longitude,mean_cloud_cover,median_cloud_cover,mode_cloud_cover,min_cloud_cover,max_cloud_cover,inside_us
48.75,-122.25,0.69575,0.8915,1.0,0.0,1.0,True
48.75,-121.75,0.7677499999999999,0.9844999999999999,1.0,0.102,1.0,True
48.75,-121.25,0.7835,0.994,1.0,0.146,1.0,True
48.75,-120.75,0.815,1.0,1.0,0.26,1.0,True
48.75,-120.25,0.749,0.994,1.0,0.008,1.0,True
48.75,-119.75,0.58175,0.575,0.2,0.268,0.909,True
48.75,-119.25,0.46075,0.4215,0.0,0.0,1.0,True
48.75,-118.75,0.56125,0.577,0.0,0.091,1.0,True
48.75,-118.25,0.625,0.701,0.6000000000000001,0.098,1.0,True
48.75,-117.75,0.5660000000000001,0.632,1.0,0.0,1.0,True
48.75,-117.25,0.45775,0.4135,0.0,0.004,1.0,True
48.75,-116.75,0.7925,0.9784999999999999,0.8,0.213,1.0,True
48.75,-116.25,0.5425,0.585,0.0,0.0,1.0,True
48.75,-115.75,0.47050000000000003,0.38,0.0,0.122,1.0,True
48.75,-115.25,0.54325,0.488,0.0,0.197,1.0,True
48.75,-114.75,0.5072500000000001,0.526,0.0,0.071,0.906,True
48.75,-114.25,0.39349999999999996,0.289,0.0,0.0,0.996,True
48.75,-113.75,0.55625,0.575,0.0,0.075,1.0,True
48.75,-113.25,0.628,0.7305,0.0,0.051,1.0,True
48.75,-112.75,0.54225,0.5845,0.0,0.0,1.0,True
48.75,-112.25,0.498,0.496,0.0,0.0,1.0,True
48.75,-111.75,0.31,0.12,0.0,0.0,1.0,True
48.75,-111.25,0.5,0.5,0.0,0.0,1.0,True
48.75,-110.75,0.44575,0.3915,0.0,0.0,1.0,True
48.75,-110.25,0.245,0.2065,0.0,0.0,0.567,True
48.75,-109.75,0.23225,0.0235,0.0,0.0,0.882,True
48.75,-109.25,0.2815,0.07500000000000001,0.0,0.0,0.976,True
48.75,-108.75,0.33275,0.1655,0.0,0.0,1.0,True
48.75,-108.25,0.1515,0.065,0.0,0.0,0.476,True
48.75,-107.75,0.34149999999999997,0.187,0.0,0.0,0.992,True
48.75,-107.25,0.5925,0.608,0.0,0.154,1.0,True
48.75,-106.75,0.806,0.8935,1.0,0.437,1.0,True
48.75,-106.25,0.76775,0.7775000000000001,0.4,0.516,1.0,True
48.75,-105.75,0.808,0.8285,1.0,0.575,1.0,True
48.75,-105.25,0.7422500000000001,0.8445,1.0,0.28,1.0,True
48.75,-104.75,0.552,0.614,0.8,0.0,0.98,True
48.75,-104.25,0.5225,0.624,0.6000000000000001,0.047,0.795,True
48.75,-103.75,0.6812499999999999,0.884,0.8,0.0,0.957,True
48.75,-103.25,0.9172499999999999,0.9465,0.8,0.776,1.0,True
48.75,-102.75,0.861,0.98,0.8,0.484,1.0,True
48.75,-102.25,0.92425,1.0,1.0,0.697,1.0,True
48.75,-101.75,0.83475,0.9804999999999999,1.0,0.378,1.0,True
48.75,-101.25,0.66725,0.7145,1.0,0.24,1.0,True
48.75,-100.75,0.8632500000000001,1.0,1.0,0.453,1.0,True
48.75,-100.25,0.52275,0.5455,0.0,0.0,1.0,True
48.75,-99.75,0.64775,0.6990000000000001,1.0,0.193,1.0,True
48.75,-99.25,0.443,0.386,0.0,0.0,1.0,True
48.75,-98.75,0.5720000000000001,0.63,0.0,0.028,1.0,True
48.75,-98.25,0.47850000000000004,0.451,0.0,0.012,1.0,True
48.75,-97.75,0.58075,0.6535,0.0,0.016,1.0,True
48.75,-97.25,0.8140000000000001,0.927,0.8,0.402,1.0,True
48.75,-96.75,0.42425,0.34249999999999997,0.0,0.012,1.0,True
48.75,-96.25,0.46175,0.4155,0.0,0.016,1.0,True
48.75,-95.75,0.255,0.01,0.0,0.0,1.0,True
48.75,-95.25,0.562,0.5965,0.0,0.055,1.0,True
48.75,-94.75,0.5137499999999999,0.498,0.0,0.059,1.0,True
48.25,-124.25,0.75,1.0,1.0,0.0,1.0,True
48.25,-122.75,0.507,0.514,0.0,0.0,1.0,True
48.25,-122.25,0.386,0.266,0.0,0.012,1.0,True
48.25,-121.75,0.735,0.9545,0.8,0.031,1.0,True
48.25,-121.25,0.77275,1.0,1.0,0.091,1.0,True
48.25,-120.75,0.76575,0.992,1.0,0.079,1.0,True
48.25,-120.25,0.49124999999999996,0.4865,0.0,0.169,0.823,True
48.25,-119.75,0.48425,0.46299999999999997,0.4,0.031,0.98,True
48.25,-119.25,0.37,0.315,0.0,0.0,0.85,True
48.25,-118.75,0.51475,0.6045,0.0,0.0,0.85,True
48.25,-118.25,0.496,0.5375,0.8,0.0,0.909,True
48.25,-117.75,0.628,0.756,0.0,0.0,1.0,True
48.25,-117.25,0.66225,0.8245,0.0,0.0,1.0,True
48.25,-116.75,0.6585000000000001,0.817,0.0,0.0,1.0,True
48.25,-116.25,0.5305000000000001,0.5455,0.0,0.031,1.0,True
48.25,-115.75,0.39175,0.2855,0.0,0.051,0.945,True
48.25,-115.25,0.20775,0.0335,0.0,0.0,0.764,True
48.25,-114.75,0.3995,0.21850000000000003,0.0,0.161,1.0,True
48.25,-114.25,0.253,0.006,0.0,0.0,1.0,True
48.25,-113.75,0.699,0.776,0.2,0.244,1.0,True
48.25,-113.25,0.83075,0.933,1.0,0.457,1.0,True
48.25,-112.75,0.48824999999999996,0.4765,0.0,0.0,1.0,True
48.25,-112.25,0.4075,0.315,0.0,0.0,1.0,True
48.25,-111.75,0.25,0.0,0.0,0.0,1.0,True
48.25,-111.25,0.25,0.0,0.0,0.0,1.0,True
48.25,-110.75,0.19675,0.0175,0.0,0.0,0.752,True
48.25,-110.25,0.23425,0.2245,0.0,0.0,0.488,True
48.25,-109.75,0.049,0.049,0.0,0.0,0.098,True
48.25,-109.25,0.48624999999999996,0.5275,0.0,0.0,0.89,True
48.25,-108.75,0.26675,0.24,0.0,0.0,0.587,True
48.25,-108.25,0.1605,0.1495,0.0,0.0,0.343,True
48.25,-107.75,0.36024999999999996,0.246,0.0,0.071,0.878,True
48.25,-107.25,0.48725,0.4195,0.0,0.11,1.0,True
